year,total_companies,total_complaints,upheld_complaints,total_premiums,avg_ratio,median_ratio,uphold_rate,complaints_per_100M
2009,181,6808,966,9712.951,1.6555441988950277,0.0546,14.2,70.09
2010,179,6426,621,10027.525,3.5237675977653633,0.0433,9.7,64.08
2011,169,4700,478,10283.597,0.3200828402366864,0.0334,10.2,45.7
2012,172,4023,459,10609.529,0.4078796511627907,0.0098,11.4,37.92
2013,171,3389,520,10949.204,0.2390608187134503,0.0052,15.3,30.95
2014,168,4487,610,11290.648,8.369277058823528,0.0271,13.6,39.74
2015,158,3043,281,12276.911,0.1509632911392405,0.0,9.2,24.79
2016,158,3043,281,12276.911,0.1509632911392405,0.0,9.2,24.79
2017,159,3312,392,12938.43,0.6638993710691824,0.0,11.8,25.6
2018,151,3182,316,13611.94,1.4231986754966888,0.0,9.9,23.38
2019,139,2672,419,14078.25,0.09410071942446044,0.0,15.7,18.98
2020,135,3153,437,14101.929264,0.09044907044444443,0.013080005,13.9,22.36
2021,135,2591,429,14449.430708,113.11482778665926,0.0,16.6,17.93
2022,132,3230,403,15095.4852975,369.6751500844091,0.014453124,12.5,21.4
2023,124,3499,445,16201.897277,0.08627465290322579,0.017042161,12.7,21.6
2024,128,5151,629,18428.2013835,0.537497090859375,0.023157048,12.2,27.95
