Company Name,total_complaints,upheld_complaints,years_active,avg_premiums,uphold_rate
Long Island Insurance Company,355,265,1,10.237,74.6
AIG Property Casualty Company,56,20,13,23.807312923076925,35.7
SAFECO Insurance Company of Indiana,83,27,13,22.561095884615384,32.5
Permanent General Assurance Corporation,75,21,5,10.9172697,28.0
Plymouth Rock Assurance Corporation of New York,109,28,7,18.16274614285714,25.7
Peerless Insurance Company,155,36,5,63.6296,23.2
Farmers Group Property and Casualty Insurance Company,118,27,5,104.14803429999999,22.9
Travelers Personal Security Insurance Company,64,14,10,42.681948649999995,21.9
Farmers New Century Insurance Company,51,11,3,15.479,21.6
Travelers Home and Marine Insurance Company,427,90,16,169.00103715625,21.1
Truck Insurance Exchange,68,14,4,21.41025,20.6
USAA General Indemnity Company,507,104,16,74.27686034375,20.5
United Services Automobile Association,454,90,16,111.47341403125,19.8
Unitrin Safeguard Insurance Company,108,21,6,32.46778125,19.4
CSAA General Insurance Company,67,13,8,14.1859986875,19.4
